"Scenario";"Seed";"Opt_Rank";"Opt_Lambda";"N_Exposures";"CV_Crit_Name";"CV_Crit_value";"pMSE_training";"pMSE_test";"Perf_Dif"
"Pregnancy";12345;4;0,000121507529397887;53;"deviance";-623,254632628757;0,774759868453989;0,775046522368828;0,000286653914839508
"Childhood";12345;4;9,58594405990971e-05;76;"deviance";-665,361995707694;0,727989760611119;0,743073127002684;0,0150833663915647
"Combined";12345;4;0,000154688532314652;129;"deviance";-661,510984717013;0,733000196246002;0,748769270060381;0,0157690738143786
